A: 	zo 
A: 	dan hebben ik de koffiemok met een piramidedriehoekachtig aan de bovenkant 
A: 	en aan de voorkant zitten een flink blok wat aan de een kant wat schuin lopen twee kant misschien 
B: 	ja 
A: 	aan de onderkant zitten een link een wat rond vorm 
A: 	en er zitten nog een uitsteeksel link halverwege 
B: 	ja 
B: 	dat zijn duidelijk 
B: 	dat zijn letter J 
A: 	ja 
A: 	kwadrant rechtsonder 
A: 	onderaan kunnen niet ver onder 
A: 	en bij mij hebben die niks rechts en link van zich 
A: 	ik denken als je het kwadrant zullen nemen daar halverwege in 
B: 	ja bij mij ook 
B: 	staan niet zoveel omheen 
A: 	nee 
B: 	best wel veel leeg ruimte 
A: 	ja 
B: 	ja 
A: 	mooi 
B: 	zelfde plek 
B: 	het koffiekopje met een een soort omgekeerde trechter in ieder geval een een punthoofd 
B: 	een bijzonder soort blok wat van breed naar smal uitloopen als zijn een neus 
B: 	aan de linkerkant nog een klein stekelt als uitsteeksel 
B: 	en daaronder een cirkel een rond 
A: 	ja 
A: 	oké 
A: 	dat zijn nummer zes 
B: 	bij mij staan die als je het onderste stuk pken van het scherm staan die de lijn daarboven 
B: 	dus er zitten nog er zitten nog wat plek onder en qua het midden staan die net iets rechts van het midden van het kwadrant 
A: 	de éénnaonderste lijn 
A: 	ja 
A: 	in het kwadrant rechtsonder dus 
B: 	ja 
A: 	ja 
A: 	en er staan nog één plaat schuin rechts onder 
B: 	ja 
A: 	ja 
A: 	die hebben ik ja oké dat zijn denken ik dezelfde 
A: 	punthoofd 
A: 	raar blok aan de voorkant 
B: 	ja met zo'n raar blok 
B: 	ja 
A: 	ja 
B: 	dat zijn letter E 
A: 	oké 
A: 	kwadrant rechtsonder 
A: 	en in dat kwadrant verticaal zien halverwege 
A: 	en horizontaal zien vrij link 
B: 	nee hij staan ook halverwege bij mij horizontaal zien 
A: 	oké bij mij zullen er niks nog tussen passen in dat kwadrant naar het midden toe 
B: 	jawel 
B: 	nee ja 
B: 	ander plek 
A: 	ja 
B: 	Punthoofd Blok aan de voorkant 
B: 	een cirkel onder 
A: 	ja 
A: 	nummer tien 
B: 	hij staan op de onderste lijn van mijn scherm 
A: 	ja 
B: 	iets midden van dat kwadrant qua 
A: 	link 
B: 	link ja 
A: 	ja 
B: 	link van het midden ja 
A: 	ja hetzelfde 
A: 	punthoofd 
B: 	ja 
B: 	met die raar blokneus 
A: 	ja 
B: 	ja 
B: 	letter G 
A: 	en zijn jij toevallig helemaal linksboven in je scherm aan het kijken 
B: 	ja heel eenzaam staan die daar bij mij 
A: 	ja 
A: 	ja 
B: 	ja moeten hem wel zijn dan 
B: 	het punthoofd met de blokneus 
A: 	ja 
A: 	nummer tien 
B: 	hij staan in ieder geval rechtsonder 
A: 	kwadrant rechtsonder 
B: 	het kwadrant rechtsonder ja 
B: 	als je de horizontaal middellijn hebben staan die daar net onder er zullen niks veel tussen die middellijn en het plaat passen 
A: 	punthoofd zullen het bijna raken die lijn 
B: 	ja 
B: 	en qua als je dat kwadrant pakken zullen die een beetje in de breedte in het midden van dat kwadrant zitten 
A: 	ja misschien een tikkie rechts daarvan 
B: 	ja iets rechts er staan één plaat naast 
A: 	ja 
A: 	check 
