B: 	ik hebben het rood vierkant 
A: 	ja 
B: 	het zijn een de mok en het zitten er zitten een soort van lepel in 
B: 	en hij staan op een verhoging 
B: 	het zullen ook een soort ja toiletachtig bak kunnen zijn 
B: 	en er verdwijnen een soort muntstuk in 
A: 	zijn dat zo'n ruitvorm 
A: 	dat muntstuk 
B: 	nee het zijn een een het zijn wel een muntstuk 
A: 	even kijken 
B: 	het zijn echt een rond zeggen maar 
A: 	ja en mok bedoelen je gewoon dat figuur ja en dan ? wat zeggen je daarna 
B: 	ja 
B: 	er zitten een soort van lepel in 
B: 	tenminste dat lijken een handvat van een lepel 
A: 	ja 
A: 	hebben het twee uitsteeksel aan de linkerkant 
B: 	één uitsteeksel 
A: 	één 
B: 	één uitsteeksel en hij zitten op een soort verhoging 
A: 	ja 
B: 	en er verdwijnen zo'n muntstuk in en daar zien je alleen nog het bovenste stuk van 
A: 	ja 
A: 	en daar zitten dan ook nog zo'n soort van pluimpje aan de voorkant 
A: 	voor dat muntstuk zeggen maar opsteken nog iets naar boven 
B: 	nee voor het voor het muntstuk zijn je hebben de mok 
A: 	aan de rechterkant 
A: 	nee 
A: 	ja 
B: 	dan zitten er een soort van lepeltje in een soort een een druppel 
A: 	ja oké 
A: 	ja 
B: 	dan hebben die een soort uitsteeksel hier en hij staan op een verhoging 
A: 	dat bedoelen ik ja 
A: 	ja 
A: 	dat zijn nummer dertien 
B: 	oké 
B: 	mogen je op de knop drukken 
B: 	hetzelfde figuur 
A: 	ja 
A: 	die staan bij mij iets onder het midden 
B: 	ja bij mij ook 
A: 	een heel klein beetje aan de rechterkant denken ik van het midden 
A: 	en en onder het midden ook 
B: 	ja 
B: 	ja 
A: 	oké 
B: 	rechterkant durven ik niet te zeggen bij mij staan die wel echt in het midden 
B: 	er afstaan er twee omheen 
B: 	één die staan net iets veel naar boven en de ander staan bijna helemaal naar beneden maar bij mij zitten die wel exact in het midden 
A: 	ja ik twijfel of die exact in het midden zitten wel onder het midden toch 
B: 	wel onder het midden 
A: 	ja 
B: 	ja 
A: 	ja dan denken ik dat we hem op dezelfde plek hebben 
B: 	ja want hij zitten niet zeggen maar echt heel ver naar rechts of heel ver naar links 
A: 	nee 
B: 	daar staan twee ander zeggen maar eromheen ik weten niet of je ze op allemaal op dezelfde plek hebben 
A: 	nee ik weten niet of we de ander figuur op dezelfde plek hebben ook 
B: 	nee daarom 
A: 	maar 
B: 	nee bij mij zitten die denken ik wel echt in het midden en dan iets daaronder 
A: 	ja dan hebben we hem op dezelfde plek 
B: 	oké 
A: 	dit zijn weer die mok waar dat half muntstuk zo bovenuit komen met een lepeltje daarvoor en aan de linkerkant een balk die daaruit steken 
B: 	en dan ook nog zo'n klein verhoginkje 
A: 	en nog op een verhoginkje ja 
B: 	ja 
B: 	dat zijn bij mij O 
A: 	en hij staan voor mij klein beetje rechts van het midden 
A: 	en ook een klein beetje boven het midden 
A: 	dus als je hier dit zijn de middellijn hebben dan staan die boven het midden tegen de middellijn aan aan de rechterkant 
B: 	bij mij staan die als ik als ik rechtsonder het vlak hebben dan staan die echt zeggen maar dichtst bij het kruis dus als het kruisje hier zitten dan zitten die echt bij mij hier 
A: 	in het middelkruis bedoelen je het krui 
B: 	ja het middenkruis 
A: 	dan zitten die rechts boven het middelkruis bij mij 
A: 	dus stellen je zet in 
B: 	rechts bovenin dan zitten die bij mij rechtsonder 
A: 	oké 
B: 	dan zijn het niet dezelfde plek 
A: 	nee 
B: 	dit zijn de mok met de lepel het muntstuk zitten op de verhoging en komen een dinge uit 
A: 	ja 
A: 	dat zijn nummer acht 
B: 	bij mij staan die echt helemaal in zijn één in de rechterbovenhoek 
A: 	ja bij mij ook 
A: 	dit zijn met dat muntstuk wat erin vallen 
A: 	een lepel erin en aan de linkerkant komen er een staaf uit 
A: 	dus aan de bovenkant vallen er een een muntstuk in 
B: 	ja ik moeten hem even zoeken 
B: 	ik hebben hem 
B: 	dat zijn bij mij C 
A: 	top 
A: 	zitten aan de in het rechtsbovenvlak 
A: 	en dan zitten die van het rechtsbovenvlak vrij in het midden 
A: 	beetje in het midden bovenin 
B: 	nee bij mij gaan die veel richting het kruisje 
A: 	link daarvan staan Pippi Langkous 
B: 	Pippi Langkous zitten rechts daarvan 
A: 	oké nee 
B: 	ander plek 
B: 	dit zijn de spaarpot met het muntstuk dat erin vallen de lepel zitten op een verhoging en aan de linkerkant steken een een een een tak uit 
A: 	ja 
A: 	link zitten een staaf verhoging ja nummer zeven 
B: 	en die zitten bij mij in het linksondervlak 
B: 	en dan een beetje in het midden 
B: 	misschien net iets veel afwijken naar rechts 
A: 	nee 
A: 	mijn dan juist afwijken naar links 
B: 	ja dan ja dan dan weten ik wat 
A: 	dan zijn het die ander 
A: 	dit zijn de spaarpot 
B: 	stekker die hebben we ook toch ? nee 
A: 	ja 
B: 	vertel 
A: 	spaarpot 
B: 	de spaarpot ja dat zijn bij mij C 
A: 	en hij staan rechtsboven 
A: 	ja dan hebben je weer de die drie figuurt 
B: 	zo'n zo'n driehoek ja bij mij zijn het de veel rechtsondere 
A: 	ja die drie en dan 
A: 	bij mij rechtsboven 
B: 	ja nee zijn ander plek 
