B: 	ok dit zijn zeggen maar dat 
B: 	ja blauw dinge met ja mij doen het een beetje denken aan pinoccio zeggen maar zo'n neus recht naar voren en één zo'n pluimp zeggen maar op het hoofd 
A: 	hebben hij aan de achterkant ook zo'n zo'n cirkel 
B: 	ja ja ja 
A: 	okan ja dan zijn het dertien 
B: 	okan ja bij mij zijn het G ik weten niet of ik dat nog moeten zeggen maar ja 
A: 	ok nu moeten ik op geel klikken toch 
B: 	ja volgens mij wel ja 
A: 	ok 
B: 	tenminste moeten ik toch beschrijven waar hij staan 
A: 	ja ja 
B: 	ok ja hij staan een beetje in het midden en eigenlijk ongeveer in het midden en dan beetje onderin tussen twee ander plaat 
A: 	precies tussen twee ander of zijn bij mij zeggen maar staan 
A: 	staan hij ongeveer op dezelfde plek als jij zeggen en dan staan hij inderdaad tussen twee in de linker die staan iets laag en de rechter staan echt iets hoog 
B: 	ja dat hebben ik ook ja 
A: 	ok dan denken ik dat hij wel op dezelfde plek staan weer geel dus 
B: 	ok 
B: 	ja volgens mij wel ja 
A: 	ja 
A: 	duidelijk 
B: 	ja 
A: 	ja deze doen me een beetje denken aan een aan een een cocktailglas of zo omdat je hebben gewoon 
A: 	ja beetje die glasvorm en dan hebben je een schijf aan de achterkant die citroen soort citroen en dan een dinge er ook in 
B: 	o die o die mij dan doen denken aan die pinoccio een beetje 
A: 	ja ja die pinoccio ja precies 
B: 	ja ja ja ja dat zijn bij mij O 
A: 	bij mij vier 
B: 	ok 
A: 	hij staan redelijk in het midden 
A: 	maar niet helemaal het staan een soort van vier staan bij elkaar in het midden zeggen maar en dan zijn hij de de rechtsboven 
B: 	o 
B: 	ja 
B: 	o bij mij rechtsonder 
A: 	o 
B: 	o 
B: 	dus dan zijn het net niet 
A: 	nee 
B: 	nee 
B: 	dit zijn bij jou lijken het een beetje op een cocktail met citroen en bij mij zijn het beetje pinoccio 
A: 	o 
A: 	pinoccio 
B: 	ja 
A: 	ja zijn acht 
B: 	ok bij mij N 
A: 	ok 
B: 	en hij staan echt gewoon rechtsboven in zijn één een beetje 
A: 	ja bij mij ook 
B: 	ok 
A: 	dit zijn pinoccio cocktail 
B: 	o die C 
A: 	ja zijn veertien bij mij 
B: 	hij staan zeggen maar een beetje rechts van het midden maar niet heel veel naar rechts toe en zeggen maar 
B: 	op van boven denken ik ook een beetje op één vier deel 
A: 	o bij mij zijn het de bovenste rij 
B: 	ja het zijn wel bovenste rij maar er past niet nog wat tussen maar denken 
A: 	o bij mij wel denken ik als ze hun best doen 
B: 	okan ja dan nee dan denken ik dat hij net niet op dezelfde plek staan tenminste ik hebben er twee wel rechts wel twee ding naast staan en links niks 
A: 	hebben je er rechts twee naast o nee nee nee 
B: 	ja 
B: 	o ok 
A: 	nee dan niet 
B: 	nee dan 
A: 	o jij moeten klikken 
B: 	dit zijn de cocktail en pinoccio 
A: 	zijn zeven bij mij 
B: 	ok bij mij N 
B: 	hij zitten zeggen maar op één 
B: 	vier deel van links en redelijk onderaan ook denken ik één vier deel van onderaan 
A: 	ja 
A: 	volgens mij bij mij ook wel vinden alleen moeilijk om te beslissen wat één ja één vier op zich wel het zijn de veel links in de onderste hoek toch 
B: 	ja zeggen ja 
B: 	nee dat niet er zitten nog wel een poppe naast 
A: 	o 
A: 	o nee bij mij niet 
B: 	o ok dan dan zijn het niet hetzelfde nee 
A: 	dit zijn pinoccio cocktail 
B: 	even kijken waar die zijn o hier C 
A: 	ja bij mij zeven 
A: 	en hij zitten als je ze vergelijken met de rest zijn het de veel rechts in de bovenhoek 
B: 	o nee bij mij zitten er nog één boven rechts 
A: 	o nee bij mij niet 
